# input,time
1.000000000000000000e+02,8.344650268554687500e-06
1.100000000000000000e+03,7.152557373046875000e-05
2.100000000000000000e+03,1.411437988281250000e-04
3.100000000000000000e+03,2.093315124511718750e-04
4.100000000000000000e+03,2.851486206054687500e-04
5.100000000000000000e+03,3.440380096435546875e-04
6.100000000000000000e+03,4.117488861083984375e-04
7.100000000000000000e+03,5.860328674316406250e-04
8.100000000000000000e+03,5.457401275634765625e-04
9.100000000000000000e+03,7.650852203369140625e-04
