# input,time
1.000000000000000000e+02,6.525516510009765625e-04
1.100000000000000000e+03,9.206390380859375000e-02
2.100000000000000000e+03,3.500194549560546875e-01
3.100000000000000000e+03,8.148725032806396484e-01
4.100000000000000000e+03,1.373490095138549805e+00
5.100000000000000000e+03,2.184303998947143555e+00
6.100000000000000000e+03,3.099167585372924805e+00
7.100000000000000000e+03,4.407998800277709961e+00
8.100000000000000000e+03,6.174842596054077148e+00
9.100000000000000000e+03,7.822052955627441406e+00
