# input,time
1.000000000000000000e+02,4.663467407226562500e-04
1.100000000000000000e+03,6.679916381835937500e-02
2.100000000000000000e+03,2.590339183807373047e-01
3.100000000000000000e+03,5.699949264526367188e-01
4.100000000000000000e+03,1.058679342269897461e+00
5.100000000000000000e+03,1.603993177413940430e+00
6.100000000000000000e+03,2.189133167266845703e+00
7.100000000000000000e+03,3.198634386062622070e+00
8.100000000000000000e+03,4.032275676727294922e+00
9.100000000000000000e+03,4.980721235275268555e+00
