# input,time
1.000000000000000000e+02,4.854202270507812500e-04
1.100000000000000000e+03,7.180953025817871094e-02
2.100000000000000000e+03,2.664592266082763672e-01
3.100000000000000000e+03,5.953438282012939453e-01
4.100000000000000000e+03,1.061764478683471680e+00
5.100000000000000000e+03,1.654193162918090820e+00
6.100000000000000000e+03,2.312700510025024414e+00
7.100000000000000000e+03,3.170466899871826172e+00
8.100000000000000000e+03,4.158985853195190430e+00
9.100000000000000000e+03,5.308481693267822266e+00
