# input,time
1.000000000000000000e+02,1.683235168457031250e-04
1.100000000000000000e+03,2.449750900268554688e-03
2.100000000000000000e+03,4.266738891601562500e-03
3.100000000000000000e+03,6.544828414916992188e-03
4.100000000000000000e+03,1.013302803039550781e-02
5.100000000000000000e+03,1.147198677062988281e-02
6.100000000000000000e+03,1.403999328613281250e-02
7.100000000000000000e+03,2.073907852172851562e-02
8.100000000000000000e+03,1.897692680358886719e-02
9.100000000000000000e+03,2.186536788940429688e-02
